Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C5",1206,4,1uF,
"C11, C2",1206,2,100nF,
"C13, C14, C3, C4, C8, C9",1206,6,22uF,
"C6, C7",1206,2,10uF,
"D1, D2",DIO_RB160VAM_ROM-L,2,RB550VAM-30TR,
D3,LED_APT3216QBC_D,1,APT3216QBC/D,
"D4, D5",LED_APT3216QBC_D,2,APT3216CGCK,
F1,0ZCG_BEL,1,0ZCG0150BF2C,
J1,2171750001,1,2171750001,
"J2, J3",PinSocket_2x05_P2.54mm_Vertical,2,Conn_02x05_Top_Bottom,
"L1, L2",IND_NRS4012T100MDGJV_TAY,2,4.7uH,
L3,IND_PCC-M0748M-LE_PAN-L,1,22uH,
"R1, R10, R2, R6, R8, R9",1206,6,5.1k,
"R3, R5",1206,2,20k,
"R4, R7",1206,2,100k,
U1_2,SW_GPI-152-3013_CWI,1,GPI-152-3013,
U1,SOIC127P600X175-8N,1,L6982N33DR,
U2,HTSSOP-B20_ROM-L,1,BD81870EFV-ME2,
