Designator,Mid X,Mid Y,Rotation,Layer
C1,80.7375,-30.17,0.0,top
C10,80.78,-26.93,0.0,top
C11,64.18,-74.35,180.0,top
C12,65.76,-60.7,0.0,top
C13,81.15,-70.53,90.0,top
C14,85.57,-70.52,90.0,top
C2,66.28,-44.6,90.0,top
C3,59.35,-44.39,180.0,top
C4,52.27,-44.41,180.0,top
C5,73.32,-41.58,270.0,top
C6,82.34,-62.59,180.0,top
C7,57.06,-70.7,90.0,top
C8,91.87,-51.76,270.0,top
C9,91.86,-57.75,270.0,top
D1,70.28,-53.78,180.0,top
D2,85.64,-49.7,180.0,top
D3,98.73,-33.81,0.0,top
D4,98.61,-23.6,180.0,top
D5,100.82,-65.52,180.0,top
F1,45.92,-67.12,0.0,top
H1,53.55,-61.36,0.0,bottom
H2,53.71,-36.95,0.0,bottom
J1,26.17,-34.27,270.0,top
J2,98.74,-28.53,90.0,top
J3,98.58,-72.24,90.0,top
L1,74.28,-57.19,90.0,top
L2,85.89,-54.53,0.0,top
L3,72.47,-69.3,90.0,top
R1,36.47,-31.45,180.0,top
R10,94.48,-65.47,180.0,top
R2,36.63,-37.45,0.0,top
R3,65.15,-49.93,0.0,top
R4,65.02,-54.35,180.0,top
R5,85.63,-44.03,0.0,top
R6,85.54,-39.9,0.0,top
R7,91.42,-44.04,0.0,top
R8,91.5,-33.89,180.0,top
R9,91.47,-23.59,180.0,top
U1_2,32.9786,-61.13,0.0,top
U1,64.156,-67.54,180.0,top
U2,76.9144,-49.8486,270.0,top
